Index,Car,Price,Overall Rating,Exterior,Interior,Ride Quality
0,Maruti Suzuki Alto K10,  3.99 - 5.96 Lakh,4.4,4.4,4.4,4.4
1,Maruti Suzuki Alto 800,  3.25 - 5.12 Lakh,4.2,4,3.8,4.2
2,Renault Kwid,  4.70 - 6.45 Lakh,3.5,2.7,3,2.3
3,Maruti Suzuki Alto K10,  3.99 - 5.96 Lakh,4.4,4.4,4.4,4.4
4,Maruti Suzuki Alto 800,  3.25 - 5.12 Lakh,4.2,4,3.8,4.2
5,Maruti Suzuki S-Presso,  4.26 - 6.12 Lakh,3.7,4.7,4.7,4.3
6,Hyundai Exter,  6.00 - 10.10 Lakh,4.8,4.8,4.9,4.9
7,Maruti Suzuki Fronx,  7.47 - 13.14 Lakh,4.5,4.2,4.5,4.8
8,Hyundai Grand i10 Nios,  5.73 - 8.51 Lakh,5,5,5,4.5
9,Renault Kwid,  4.70 - 6.45 Lakh,3.5,2.7,3,2.3
10,Tata Altroz,  6.00 - 10.74 Lakh,4.3,4.5,4.3,4.5
11,Hyundai Aura,  6.33 - 8.90 Lakh,3.5,4.7,4,3.7
12,Maruti Suzuki Baleno,  6.45 - 9.88 Lakh,4.7,4.8,4.1,4.1
13,Hyundai i20,  7.19 - 11.83 Lakh,4.1,4.4,4.4,4.2
14,Honda Amaze,  6.91 - 11.52 Lakh,4.1,4.3,4.8,4.2
15,Tata Nexon,  7.79 - 14.60 Lakh,3.9,3.9,4.1,4
16,Renault Triber,  6.34 - 8.98 Lakh,3.2,4.4,4.2,3.4
17,Maruti Suzuki Alto K10,  3.99 - 5.96 Lakh,4.4,4.4,4.4,4.4
18,Maruti Suzuki Swift,  5.99 - 9.03 Lakh,4.2,4.2,4,4.3
19,Maruti Suzuki Alto 800,  3.25 - 5.12 Lakh,4.2,4,3.8,4.2
20,Hyundai Venue,  7.72 - 13.18 Lakh,4.9,4.9,4.9,5
21,Tata Punch,  6.00 - 9.54 Lakh,4.1,4.8,4.4,4.6
22,Tata Tiago,  5.53 - 8.15 Lakh,4,4.1,4.2,4.2
23,Nissan Magnite,  6.00 - 10.86 Lakh,4.3,4.8,4.6,4.5
24,Toyota Glanza,  6.81 - 10.00 Lakh,4.8,5,5,5
25,Kia Sonet,  7.79 - 14.89 Lakh,3,3,3,3
26,Hyundai Exter,  6.00 - 10.10 Lakh,4.8,4.8,4.9,4.9
27,Maruti Suzuki Fronx,  7.47 - 13.14 Lakh,4.5,4.2,4.5,4.8
28,Hyundai Grand i10 Nios,  5.73 - 8.51 Lakh,5,5,5,4.5
29,Renault Kwid,  4.70 - 6.45 Lakh,3.5,2.7,3,2.3
30,Tata Altroz,  6.00 - 10.74 Lakh,4.3,4.5,4.3,4.5
31,Hyundai Aura,  6.33 - 8.90 Lakh,3.5,4.7,4,3.7
32,Maruti Suzuki Baleno,  6.45 - 9.88 Lakh,4.7,4.8,4.1,4.1
33,Hyundai i20,  7.19 - 11.83 Lakh,4.1,4.4,4.4,4.2
